LÍNEA 1,,LÍNEA 2,,LÍNEA 3
Aquiles Serdán,"569,357",,Bellas Artes,"1,117,359",,Puebla,"1,903,908"
Camarones,"784,460",,San Juan Letrán,"1,627,645",,Ciudad Deportiva,"340,855"
Refinería,"572,947",,Salto del Agua,"861,357",,Velódromo,"477,380"
Tacuba,"497,315",,Doctores,"779,223",,Mixiuhca,"1,176,280"
San Joaquín,"1,278,878",,Obrera,"856,622",,Jamaica,"711,132"
Polanco,"1,339,153",,Chabacano,"211,558",,Chabacano,"611,362"
Auditorio,"1,505,013",,La Viga,"387,830",,Lázaro Cárdenas,"734,093"
Constituyentes,"299,423",,Santa Anita,"253,667",,Centro Médico,"895,544"
Tacubaya,"300,100",,Coyuya,"1,516,665",,Chilpancingo,"2,519,664"
San Pedro los Pinos,"621,665",,Iztacalco,"1,093,193",,Patriotismo,"997,652"
San Antonio,"613,669",,Apatlaco,"912,796",,Tacubaya,"2,970,997"
Mixcoac,"1,672,863",,Aculco,"607,599",,,
Barranca del Muerto,"1,869,363",,Escuadrón 201,"1,134,185",,,
,,,Atlalilco,"1,278,861",,,
,,,Iztapalapa,"632,344",,,
,,,Cerro de la Estrella,"671,598",,,
,,,U A M  I,"1,367,450",,,
,,,Constitución de 1917,"5,269,851",,,
TOTAL,"13,545,219",,TOTAL,"21,455,407",,TOTAL,"19,473,027"
,,,,,,,
LÍNEA A,,LÍNEA B,,LINEA 12
Pantitlán,"8,145,948",,Buenavista,"3,053,416",,Tláhuac,0
Agrícola Oriental,"726,039",,Guerrero,"348,278",,Tlaltenco,0
Canal de San Juan,"811,274",,Garibaldi/Lagunilla,"351,273",,Zapotitlán,0
Tepalcates,"1,348,559",,Lagunilla,"1,257,492",,Nopalera,0
Guelatao,"1,028,724",,Tepito,"1,406,825",,Olivos,0
Peñón Viejo,"858,666",,Morelos,"248,514",,Tezonco,0
Acatitla,"927,873",,San Lázaro,"803,199",,Periférico Oriente,0
Santa Marta,"2,269,333",,Ricardo Flores Magón,"368,313",,Calle 11,0
Los Reyes,"1,275,756",,Romero Rubio,"616,908",,Lomas Estrella,0
La Paz,"2,656,456",,Oceanía,"539,336",,San Andrés Tomatlán,0
,,,Deportivo Oceanía,"787,766",,Culhuacán,0
,,,Bosque de Aragón,"321,290",,Atlalilco,0
,,,Villa de Aragón,"668,685",,Mexicaltzingo,0
,,,Nezahualcóyotl,"1,047,106",,Ermita,0
,,,Impulsora,"1,266,720",,Eje Central,0
,,,Río de los Remedios,"1,258,087",,Parque de los Venados,0
,,,Múzquiz,"1,840,312",,Zapata,0
,,,Ecatepec,"1,208,403",,20 de Noviembre,0
,,,Olímpica,"1,025,464",,Insurgentes Sur,0
,,,Plaza Aragón,"1,171,562",,Mixcoac,0
,,,Ciudad Azteca,"2,816,717",,,
TOTAL,"20,048,628",,TOTAL,"22,405,666",,TOTAL,0
,,,,,,,
,,,,,,,
,,,JULIO - SEPTIEMBRE 2021,,,
,,,,,,,
,,,GRAN TOTAL,"218,891,652",,,
,,,,,,,
"* El total contempla el rubro de beneficiados por la cancelación de doble pago de la correspondencia Pantitlán, el cual asciende a 10,950,837"
LÍNEA 1,,LÍNEA 2,,LÍNEA 3
Pantitlán,"3,658,377",,Cuatro Caminos,"4,258,505",,Indios Verdes,"7,369,193"
Zaragoza,"2,707,097",,Panteones,"704,541",,Deptvo. 18 de Marzo,"1,882,117"
Gómez Farías,"2,247,010",,Tacuba,"2,228,140",,Potrero,"956,833"
Blvd. Puerto Aéreo,"1,909,906",,Cuitláhuac,"1,044,092",,La Raza,"1,964,701"
Balbuena,"723,423",,Popotla,"460,831",,Tlatelolco,"1,150,658"
Moctezuma,"1,428,591",,Colegio Militar,"713,268",,Guerrero,"703,353"
San Lázaro,"1,885,335",,Normal,"1,707,428",,Hidalgo,"857,772"
Candelaria,"2,127,398",,San Cosme,"1,265,565",,Juárez,"973,623"
Merced,"3,594,958",,Revolución,"1,436,636",,Balderas,"439,427"
Pino Suárez,"2,881,456",,Hidalgo,"1,830,544",,Niños Héroes/PJCDMX,"1,137,142"
Isabel la Católica,"1,546,385",,Bellas Artes,"1,929,854",,Hospital General,"1,105,134"
Salto del Agua,"1,398,426",,Allende,"1,569,668",,Centro Médico,"1,161,177"
Balderas,"1,090,372",,Zócalo,"2,138,985",,Etiopía/Plaza de la Trans.,"1,455,826"
Cuauhtémoc,"1,243,947",,Pino Suárez,"1,130,140",,Eugenia,"871,439"
Insurgentes,"358,209",,San Antonio Abad,"987,284",,División del Norte,"884,197"
Sevilla,"1,742,768",,Chabacano,"1,492,093",,Zapata,"2,423,741"
Chapultepec,"2,831,592",,Viaducto,"1,115,543",,Coyoacán,"1,428,110"
Juanacatlán,"586,565",,Xola,"1,050,562",,Viveros/Derechos Humanos,"1,287,392"
Tacubaya,"2,206,501",,Villa de Cortés,"973,790",,Miguel A. de Quevedo,"2,152,462"
Observatorio,"4,105,929",,Nativitas,"1,041,954",,Copilco,"1,532,811"
,,,Portales,"1,293,867",,Universidad,"3,112,400"
,,,Ermita,"1,190,808",,,
,,,General Anaya,"1,164,607",,,
,,,Tasqueña,"4,986,706",,,
TOTAL,"40,274,245",,TOTAL,"37,715,411",,TOTAL,"34,849,508"
,,,,,,,
,,,,,,,
,,,,,,,
LÍNEA 4,,LÍNEA 5,,LÍNEA 6
Santa Anita,"119,581",,Politécnico,"1,655,272",,El Rosario,"925,031"
Jamaica,"491,869",,Inst. del Petróleo,"358,099",,Tezozómoc,"348,295"
Fray Servando,"686,766",,Autobuses del Norte,"1,347,926",,Azcapotzalco,"446,697"
Candelaria,"583,135",,La Raza,"649,054",,Ferrería/Arena CDMX,"1,104,469"
Morelos,"535,266",,Misterios,"567,389",,Norte 45,"459,233"
Canal del Norte,"552,967",,Valle Gómez,"289,978",,Vallejo,"565,093"
Consulado,"246,502",,Consulado,"360,498",,Inst. del Petróleo,"166,908"
Bondojito,"423,823",,Eduardo Molina,"372,668",,Lindavista,"782,266"
Talismán,"278,407",,Aragón,"484,536",,Deptvo. 18 de Marzo,"91,958"
Martín Carrera,"1,262,703",,Oceanía,"561,483",,La Villa-Basilica,"802,441"
,,,Terminal Aérea,"1,343,746",,Martín Carrera,"1,681,954"
,,,Hangares,"294,295",,,
,,,Pantitlán,"6,310,133",,,
TOTAL,"5,181,019",,TOTAL,"14,595,077",,TOTAL,"7,374,345"
,,,,,,,
,,,,,,,
LÍNEA 7,,LÍNEA 8,,LÍNEA 9
El Rosario,"1,762,821",,Garibaldi/Lagunilla,"972,016",,Pantitlán,"6,518,328"
Aquiles Serdán,"669,471",,Bellas Artes,"1,446,931",,Puebla,"2,121,757"
Camarones,"962,238",,San Juan Letrán,"1,965,508",,Ciudad Deportiva,"440,372"
Refinería,"640,676",,Salto del Agua,"1,055,278",,Velódromo,"519,177"
Tacuba,"569,086",,Doctores,"901,323",,Mixiuhca,"1,395,880"
San Joaquín,"1,368,369",,Obrera,"1,000,508",,Jamaica,"883,941"
Polanco,"1,601,866",,Chabacano,"255,079",,Chabacano,"701,997"
Auditorio,"1,673,616",,La Viga,"518,136",,Lázaro Cárdenas,"902,604"
Constituyentes,"376,626",,Santa Anita,"324,289",,Centro Médico,"925,205"
Tacubaya,"337,523",,Coyuya,"1,731,096",,Chilpancingo,"2,771,255"
San Pedro los Pinos,"659,390",,Iztacalco,"1,287,215",,Patriotismo,"1,136,627"
San Antonio,"668,051",,Apatlaco,"1,052,285",,Tacubaya,"3,271,391"
Mixcoac,"1,824,375",,Aculco,"706,298",,,
Barranca del Muerto,"2,066,760",,Escuadrón 201,"1,419,862",,,
,,,Atlalilco,"1,533,496",,,
,,,Iztapalapa,"771,773",,,
,,,Cerro de la Estrella,"802,505",,,
,,,U A M  I,"1,598,199",,,
,,,Constitución de 1917,"7,045,246",,,
TOTAL,"15,180,868",,TOTAL,"26,387,043",,TOTAL,"21,588,534"
,,,,,,,
LÍNEA A,,LÍNEA B,,LINEA 12
Pantitlán,"8,019,923",,Buenavista,"3,601,768",,Tláhuac,0
Agrícola Oriental,"691,640",,Guerrero,"416,777",,Tlaltenco,0
Canal de San Juan,"975,053",,Garibaldi/Lagunilla,"557,123",,Zapotitlán,0
Tepalcates,"1,583,068",,Lagunilla,"1,898,276",,Nopalera,0
Guelatao,"1,120,347",,Tepito,"1,861,147",,Olivos,0
Peñón Viejo,"1,070,960",,Morelos,"365,223",,Tezonco,0
Acatitla,"1,214,767",,San Lázaro,"930,515",,Periférico Oriente,0
Santa Marta,"2,682,277",,Ricardo Flores Magón,"434,904",,Calle 11,0
Los Reyes,"1,270,643",,Romero Rubio,"796,078",,Lomas Estrella,0
La Paz,"2,934,540",,Oceanía,"632,982",,San Andrés Tomatlán,0
,,,Deportivo Oceanía,"913,044",,Culhuacán,0
,,,Bosque de Aragón,"286,138",,Atlalilco,0
,,,Villa de Aragón,"833,974",,Mexicaltzingo,0
,,,Nezahualcóyotl,"1,378,335",,Ermita,0
,,,Impulsora,"1,584,384",,Eje Central,0
,,,Río de los Remedios,"1,486,979",,Parque de los Venados,0
,,,Múzquiz,"2,158,689",,Zapata,0
,,,Ecatepec,"1,469,086",,20 de Noviembre,0
,,,Olímpica,"1,190,820",,Insurgentes Sur,0
,,,Plaza Aragón,"1,327,815",,Mixcoac,0
,,,Ciudad Azteca,"3,244,486",,,
TOTAL,"21,563,218",,TOTAL,"27,368,543",,TOTAL,0
,,,,,,,
,,,,,,,
,,,OCTUBRE - DICIEMBRE 2021,,,
,,,,,,,
,,,GRAN TOTAL,"252,077,811",,,
,,,,,,,
"* El total contempla el rubro de beneficiados por la cancelación de doble pago de la correspondencia Pantitlán, el cual asciende a 11,316,972"
LÍNEA 1,,LÍNEA 2,,LÍNEA 3
Pantitlán,"12,091,630",,Cuatro Caminos,"15,156,149",,Indios Verdes,"23,449,776"
Zaragoza,"8,708,578",,Panteones,"2,235,576",,Deptvo. 18 de Marzo,"5,936,737"
Gómez Farías,"7,337,725",,Tacuba,"6,994,297",,Potrero,"2,998,686"
Blvd. Puerto Aéreo,"5,468,560",,Cuitláhuac,"3,213,123",,La Raza,"6,278,397"
Balbuena,"2,246,042",,Popotla,"1,390,202",,Tlatelolco,"3,424,240"
Moctezuma,"4,486,218",,Colegio Militar,"2,118,471",,Guerrero,"2,134,844"
San Lázaro,"4,977,454",,Normal,"5,211,134",,Hidalgo,"2,578,964"
Candelaria,"6,457,461",,San Cosme,"3,407,301",,Juárez,"2,956,795"
Merced,"11,449,206",,Revolución,"4,495,227",,Balderas,"1,290,882"
Pino Suárez,"8,849,949",,Hidalgo,"5,473,990",,Niños Héroes/PJCDMX,"3,626,376"
Isabel la Católica,"4,608,832",,Bellas Artes,"4,305,045",,Hospital General,"3,421,978"
Salto del Agua,"4,369,643",,Allende,"4,250,192",,Centro Médico,"3,695,180"
Balderas,"3,532,268",,Zócalo,"6,390,406",,Etiopía/Plaza de la Trans.,"4,693,331"
Cuauhtémoc,"4,054,718",,Pino Suárez,"3,366,820",,Eugenia,"2,823,476"
Insurgentes,"6,879,516",,San Antonio Abad,"3,533,270",,División del Norte,"2,815,721"
Sevilla,"5,624,058",,Chabacano,"4,497,267",,Zapata,"6,909,278"
Chapultepec,"9,091,332",,Viaducto,"3,287,377",,Coyoacán,"3,793,860"
Juanacatlán,"1,859,621",,Xola,"3,267,474",,Viveros/Derechos Humanos,"4,009,630"
Tacubaya,"7,381,863",,Villa de Cortés,"2,926,908",,Miguel A. de Quevedo,"6,631,245"
Observatorio,"12,178,741",,Nativitas,"3,190,651",,Copilco,"4,626,936"
,,,Portales,"3,691,622",,Universidad,"9,438,252"
,,,Ermita,"3,363,619",,,
,,,General Anaya,"3,279,093",,,
,,,Tasqueña,"14,486,239",,,
,,,,,,,
TOTAL,"131,653,415",,TOTAL,"113,531,453",,TOTAL,"107,534,584"
,,,,,,,
,,,,,,,
,,,,,,,
LÍNEA 4,,LÍNEA 5,,LÍNEA 6
Santa Anita,"391,005",,Politécnico,"5,789,532",,El Rosario,"2,983,811"
Jamaica,"1,550,480",,Inst. del Petróleo,"1,133,656",,Tezozómoc,"1,093,928"
Fray Servando,"1,827,514",,Autobuses del Norte,"4,322,667",,Azcapotzalco,"1,439,985"
Candelaria,"1,912,281",,La Raza,"2,414,062",,Ferrería/Arena CDMX,"3,524,534"
Morelos,"1,770,575",,Misterios,"1,696,494",,Norte 45,"1,619,693"
Canal del Norte,"1,714,787",,Valle Gómez,"912,959",,Vallejo,"1,955,966"
Consulado,"757,318",,Consulado,"1,213,863",,Inst. del Petróleo,"506,888"
Bondojito,"1,242,891",,Eduardo Molina,"1,293,750",,Lindavista,"2,411,708"
Talismán,"895,738",,Aragón,"1,605,655",,Deptvo. 18 de Marzo,"323,811"
Martín Carrera,"3,870,053",,Oceanía,"2,002,185",,La Villa-Basilica,"2,292,984"
,,,Terminal Aérea,"4,419,693",,Martín Carrera,"5,380,137"
,,,Hangares,"946,994",,,
,,,Pantitlán,"21,339,443",,,
TOTAL,"15,932,642",,TOTAL,"49,090,953",,TOTAL,"23,533,445"
,,,,,,,
,,,,,,,
LÍNEA 7,,LÍNEA 8,,LÍNEA 9
El Rosario,"6,245,113",,Garibaldi/Lagunilla,"3,439,579",,Pantitlán,"22,367,944"
Aquiles Serdán,"2,199,473",,Bellas Artes,"4,204,561",,Puebla,"7,068,973"
Camarones,"3,021,762",,San Juan Letrán,"6,320,155",,Ciudad Deportiva,"1,275,094"
Refinería,"2,206,048",,Salto del Agua,"3,098,577",,Velódromo,"1,770,000"
Tacuba,"2,081,340",,Doctores,"2,988,875",,Mixiuhca,"4,387,575"
San Joaquín,"4,896,923",,Obrera,"3,182,282",,Jamaica,"2,621,993"
Polanco,"5,373,504",,Chabacano,"988,177",,Chabacano,"2,813,390"
Auditorio,"5,474,627",,La Viga,"1,599,439",,Lázaro Cárdenas,"2,951,608"
Constituyentes,"1,153,246",,Santa Anita,"1,025,639",,Centro Médico,"3,348,060"
Tacubaya,"1,144,856",,Coyuya,"5,581,291",,Chilpancingo,"9,430,276"
San Pedro los Pinos,"2,399,129",,Iztacalco,"4,365,189",,Patriotismo,"3,795,726"
San Antonio,"2,429,723",,Apatlaco,"3,676,323",,Tacubaya,"10,567,781"
Mixcoac,"5,957,730",,Aculco,"2,316,884",,,
Barranca del Muerto,"7,331,623",,Escuadrón 201,"4,527,035",,,
,,,Atlalilco,"4,615,611",,,
,,,Iztapalapa,"2,443,580",,,
,,,Cerro de la Estrella,"2,606,672",,,
,,,U A M  I,"5,254,770",,,
,,,Constitución de 1917,"20,500,309",,,
,,,,,,,
TOTAL,"51,915,097",,TOTAL,"82,734,948",,TOTAL,"72,398,420"
,,,,,,,
LÍNEA A,,LÍNEA B,,LINEA 12
Pantitlán,"33,368,107",,Buenavista,"12,114,410",,Tláhuac,"3,245,863"
Agrícola Oriental,"2,768,101",,Guerrero,"1,493,722",,Tlaltenco,"301,594"
Canal de San Juan,"3,282,914",,Garibaldi/Lagunilla,"1,363,736",,Zapotitlán,"960,815"
Tepalcates,"5,328,315",,Lagunilla,"4,862,989",,Nopalera,"1,619,653"
Guelatao,"3,840,759",,Tepito,"5,518,062",,Olivos,"1,105,981"
Peñón Viejo,"3,310,816",,Morelos,"995,579",,Tezonco,"1,623,999"
Acatitla,"3,640,691",,San Lázaro,"3,217,040",,Periférico Oriente,"1,916,407"
Santa Marta,"8,697,084",,Ricardo Flores Magón,"1,406,335",,Calle 11,"994,257"
Los Reyes,"4,949,098",,Romero Rubio,"2,257,035",,Lomas Estrella,"545,971"
La Paz,"10,372,211",,Oceanía,"2,109,569",,San Andrés Tomatlán,"628,588"
,,,Deportivo Oceanía,"2,903,706",,Culhuacán,"1,179,625"
,,,Bosque de Aragón,"1,069,381",,Atlalilco,"847,723"
,,,Villa de Aragón,"2,590,343",,Mexicaltzingo,"1,030,856"
,,,Nezahualcóyotl,"4,258,836",,Ermita,"847,698"
,,,Impulsora,"5,109,318",,Eje Central,"664,899"
,,,Río de los Remedios,"4,785,870",,Parque de los Venados,"567,984"
,,,Múzquiz,"7,202,836",,Zapata,"895,128"
,,,Ecatepec,"4,853,732",,20 de Noviembre,"593,128"
,,,Olímpica,"4,040,957",,Insurgentes Sur,"1,807,375"
,,,Plaza Aragón,"4,412,715",,Mixcoac,"693,814"
,,,Ciudad Azteca,"10,952,831",,,
,,,,,,,
TOTAL,"79,558,096",,TOTAL,"87,519,002",,TOTAL,"22,071,358"
,,,,,,,
,,,,,,,
,,,ENERO - DICIEMBRE 2021,,,
,,,,,,,
,,,GRAN TOTAL,"837,473,413",,,
,,,,,,,
"* El total contempla el rubro de beneficiados por la cancelación de doble pago de la correspondencia Pantitlán, el cual asciende a 43,173,864"
